total_raised,total_contributions,date,committee,committee_name
9794.5,92,2020-10,C00498345,MULLIN FOR CONGRESS
127706.97999999335,10323,2020-10,C00728238,LAUREN BOEBERT FOR CONGRESS
3722.0,53,2020-10,C00738302,LANCIA FOR CONGRESS
93482.04,4114,2020-10,C00588392,TODOS CON JENNIFFER INC.  DBA JENNIFFER FOR CONGRESS
16366.0,183,2020-10,C00713537,FRIENDS OF JOHN EMMONS
6384.0,72,2020-10,C00735373,WINNFORCOLORADO
21861.600000000002,421,2020-10,C00712257,CUMMINGS FOR CONGRESS
24332.46,124,2020-10,C00662650,BALDERSON FOR CONGRESS
5274.94999999994,781,2020-10,C00726000,LEO VALENTIN FOR CONGRESS
8973.47,45,2020-10,C00527457,FRIENDS OF DAVE JOYCE
17003.06,142,2020-10,C00577999,"JIM BANKS FOR CONGRESS, INC."
1930.0,27,2020-10,C00313247,ROBERT ADERHOLT FOR CONGRESS
87069.84000000007,4095,2020-10,C00376939,MARSHA FOR SENATE
97875.38999999998,4129,2020-10,C00676965,RICK SCOTT FOR FLORIDA
4743.490000000001,141,2020-10,C00706374,TAMIKA HAMILTON FOR CONGRESS
9315.610000000006,165,2020-10,C00658385,MARK GREEN FOR CONGRESS
10849.0,68,2020-10,C00743955,ELECT TUMAN
1239.0,13,2020-10,C00733568,TIM KELLY FOR CONGRESS
12905.0,20,2020-10,C00668491,WILLIAM TIMMONS FOR CONGRESS
1160.0,7,2020-10,C00588764,COMER FOR CONGRESS
30199.620000000003,228,2020-10,C00575050,LAHOOD FOR CONGRESS
